FlightId,Month,DayofMonth,DayOfWeek,DepTime,UniqueCarrier,Origin,Dest,Distance,dep_delayed_15min
0,c-2,c-7,c-1,1452,XE,IAH,TUS,936,1
1,c-1,c-27,c-5,1511,XE,CLE,PVD,540,0
2,c-9,c-25,c-1,2105,OH,CVG,MKE,318,0
3,c-10,c-17,c-1,1626,MQ,SBA,LAX,89,1
4,c-4,c-18,c-1,557,AA,AUS,ORD,978,0
5,c-4,c-3,c-7,1305,AS,SEA,SJC,697,0
6,c-6,c-24,c-5,1047,DL,ATL,CHS,259,0
7,c-6,c-2,c-5,1340,AA,DFW,RNO,1345,1
8,c-2,c-28,c-1,1520,WN,PDX,OAK,543,1
9,c-10,c-8,c-7,1553,AS,JNU,PSG,123,1
10,c-6,c-16,c-4,1058,NW,BIS,MSP,386,0
11,c-4,c-14,c-4,1757,EV,AUS,SLC,1085,0
12,c-8,c-23,c-2,1541,DL,LGA,FLL,1076,0
13,c-10,c-28,c-6,1604,WN,OAK,SAN,446,0
14,c-12,c-17,c-6,949,NW,MEM,DTW,610,0
15,c-9,c-8,c-4,1454,UA,ORD,SMF,1781,0
16,c-5,c-8,c-7,1538,OO,CPR,SLC,320,0
17,c-5,c-24,c-3,1155,B6,JFK,LGB,2465,0
18,c-5,c-8,c-1,1741,CO,CLE,IAH,1091,0
19,c-5,c-20,c-5,1703,AA,DFW,LGA,1389,0
20,c-6,c-8,c-3,1355,MQ,DFW,SHV,190,0
21,c-3,c-25,c-6,1745,AA,ORD,EWR,719,0
22,c-2,c-7,c-2,1331,OO,MFR,DEN,964,0
23,c-3,c-2,c-3,1041,US,ORF,PHL,211,0
24,c-8,c-31,c-3,1132,OO,SLC,PSP,541,0
25,c-8,c-6,c-7,1605,AS,BET,ANC,399,1
26,c-7,c-24,c-7,1725,DL,RDU,ATL,356,1
27,c-6,c-18,c-7,1359,UA,LAX,ORD,1745,0
28,c-1,c-30,c-7,2000,WN,LAX,OAK,337,0
29,c-9,c-26,c-1,1839,UA,ORD,DTW,235,0
30,c-10,c-2,c-7,1716,WN,SEA,OAK,671,1
31,c-6,c-21,c-3,1734,B6,AUS,JFK,1522,1
32,c-4,c-22,c-6,1828,XE,IAH,SDF,788,0
33,c-11,c-1,c-3,1932,CO,EWR,PHX,2133,0
34,c-1,c-18,c-2,851,DL,ATL,LAX,1946,0
35,c-3,c-18,c-5,844,OO,PDX,RDM,116,0
36,c-10,c-4,c-3,610,WN,LAS,SJC,386,0
37,c-1,c-18,c-3,1925,FL,MEM,ATL,332,0
38,c-11,c-27,c-1,1045,MQ,ORD,JFK,740,0
39,c-9,c-21,c-4,1800,OO,LAX,SNA,36,0
40,c-12,c-4,c-7,1219,OO,OAK,LAX,337,0
41,c-1,c-3,c-1,1049,AA,DTW,DFW,987,0
42,c-7,c-16,c-7,2039,WN,TUL,HOU,453,1
43,c-9,c-15,c-5,950,EV,ATL,ERI,626,0
44,c-5,c-13,c-6,1856,NW,IND,MSP,503,0
